Timestamp,How much is your CGPA,How much do you use the college computer center (CC) for studying?,How much do you use the college library for studying?,Which of the following resources provided by the college do you find most beneficial for academic success? (Select all that apply),"On a scale of 1 to 5, how would you rate the effectiveness of the college's academic advising services?","How many hours per week, on average, do you spend on activities directly related to your studies (e.g., homework, self-study)?",How much attendance do you manage in a semester?,Did you have any previous backlogs?
3/9/2026 9:33:01,Less than 6.5,Never,Never,Tutoring/Academic support services,2,6,75-90%,No
3/9/2026 9:37:09,More than 8.5,Every week,Every week,"Library resources (books, journals), Faculty office hours/support, Seniors",4,8,I never miss classes unless there is an emergency,No
3/9/2026 9:38:51,More than 8.5,Every week,Every week,"Library resources (books, journals), Faculty office hours/support",4,9,90-99%,No
3/9/2026 9:39:22,6.5 to 8.5,Monthly,Monthly,"Library resources (books, journals), Seniors",3,7,75-90%,No
3/9/2026 9:40:08,Less than 6.5,Only during exams,Only during exams,"Tutoring/Academic support services, Seniors",2,4,50-75%,Yes
3/9/2026 9:40:44,More than 8.5,Every week,Monthly,"Library resources (books, journals), Faculty office hours/support, Seniors",5,9,I never miss classes unless there is an emergency,No
3/9/2026 9:41:23,6.5 to 8.5,Only during exams,Monthly,"Library resources (books, journals)",3,6,75-90%,No
3/9/2026 9:52:57,Less than 6.5,Only during exams,Only during exams,Seniors,3,6,75-90%,No
3/9/2026 9:55:58,6.5 to 8.5,When internet is not available at hostels,Never,"Faculty office hours/support, Tutoring/Academic support services, Seniors",3,7,75-90%,No
3/9/2026 9:56:57,Less than 6.5,When internet is not available at hostels,Only during exams,"Library resources (books, journals), Seniors",4,6,75-90%,No
3/9/2026 10:16:24,Less than 6.5,Never,Never,Seniors,2,4,75-90%,No
3/9/2026 10:37:58,6.5 to 8.5,Monthly,Monthly,"Library resources (books, journals), Tutoring/Academic support services",3,8,90-99%,No
3/9/2026 10:48:20,6.5 to 8.5,Never,Never,Tutoring/Academic support services,2,6,50-75%,No
3/9/2026 11:01:15,Less than 6.5,Only during exams,Never,"Tutoring/Academic support services, Seniors",3,4,75-90%,No
3/9/2026 13:43:17,6.5 to 8.5,Only during exams,Only during exams,Tutoring/Academic support services,1,8,75-90%,No
3/9/2026 14:55:03,Less than 6.5,When internet is not available at hostels,Never,Seniors,1,5,50-75%,Yes
3/9/2026 16:24:44,Less than 6.5,Never,Never,"Tutoring/Academic support services, Seniors",3,8,75-90%,Yes
3/10/2026 11:57:35,6.5 to 8.5,Never,Never,"Library resources (books, journals), Faculty office hours/support, Tutoring/Academic support services, Seniors",2,8,I never miss classes unless there is an emergency,No
3/10/2026 12:00:32,More than 8.5,Never,Never,Tutoring/Academic support services,3,7,75-90%,No
3/10/2026 12:03:46,6.5 to 8.5,Never,Only during exams,"Library resources (books, journals), Seniors",3,7,I never miss classes unless there is an emergency,No
3/10/2026 12:06:57,6.5 to 8.5,When internet is not available at hostels,Only during exams,"Library resources (books, journals), Faculty office hours/support, Tutoring/Academic support services, Seniors",3,7,75-90%,No
3/10/2026 12:21:31,More than 8.5,Never,Never,"Tutoring/Academic support services, Seniors",3,7,90-99%,No
3/10/2026 15:10:36,6.5 to 8.5,Never,Never,Seniors,1,3,75-90%,No
3/10/2026 16:20:19,6.5 to 8.5,Every week,Only during exams,"Library resources (books, journals), Faculty office hours/support",3,5,75-90%,Yes
3/10/2026 16:20:54,6.5 to 8.5,Only during exams,Only during exams,Faculty office hours/support,3,6,75-90%,Yes
3/10/2026 17:28:26,More than 8.5,When internet is not available at hostels,Every week,"Library resources (books, journals), Faculty office hours/support, Tutoring/Academic support services, Seniors",4,10,I never miss classes unless there is an emergency,No
3/10/2026 17:32:31,More than 8.5,Every week,Every week,"Library resources (books, journals), Faculty office hours/support, Tutoring/Academic support services, Seniors",1,1,<50%,Yes
3/10/2026 17:51:32,6.5 to 8.5,Never,Never,Seniors,2,6,75-90%,No
3/10/2026 19:29:53,6.5 to 8.5,Never,Only during exams,Seniors,2,1,75-90%,No
3/10/2026 19:35:09,6.5 to 8.5,When internet is not available at hostels,Only during exams,"Faculty office hours/support, Tutoring/Academic support services",4,9,90-99%,No
3/10/2026 21:33:09,6.5 to 8.5,Never,Never,"Faculty office hours/support, Tutoring/Academic support services",4,5,I never miss classes unless there is an emergency,No
3/10/2026 22:03:37,6.5 to 8.5,Never,Never,Faculty office hours/support,4,8,75-90%,No
3/10/2026 22:13:10,More than 8.5,Never,Never,"Faculty office hours/support, Seniors",3,10,90-99%,No
3/11/2026 0:25:57,More than 8.5,Never,Never,Tutoring/Academic support services,3,5,75-90%,No
3/11/2026 10:09:25,6.5 to 8.5,Never,Never,"Library resources (books, journals)",2,5,75-90%,No
3/11/2026 11:06:33,Less than 6.5,When internet is not available at hostels,Never,Seniors,3,9,75-90%,No
3/11/2026 11:06:58,More than 8.5,Never,Never,Tutoring/Academic support services,3,2,I never miss classes unless there is an emergency,No
3/11/2026 15:08:24,6.5 to 8.5,Only during exams,Never,Tutoring/Academic support services,3,3,75-90%,No
3/13/2026 14:02:43,6.5 to 8.5,Never,Never,Tutoring/Academic support services,2,5,75-90%,No
3/13/2026 21:55:06,6.5 to 8.5,Only during exams,Only during exams,Tutoring/Academic support services,3,2,90-99%,No
,Less than 6.5,Monthly,Monthly,Faculty office hours/support,3,4,50-75%,Yes
,Less than 6.5,Never,Monthly,Tutoring/Academic support services/YouTube,3,6,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Every week,Never,Faculty office hours/support,5,8,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Never,Every week,Faculty office hours/support,5,7,90-99%,Yes
,Less than 6.5,When internet is not available at hostels,Never,Seniors,1,3,75-90%,No
,6.5 to 8.5,Monthly,Monthly,Faculty office hours/support,4,6,I never miss classes unless there is an emergency,No
,Less than 6.5,Monthly,Only during exams,Tutoring/Academic support services/YouTube,2,5,50-75%,Yes
,6.5 to 8.5,Only during exams,Only during exams,Tutoring/Academic support services/YouTube,4,7,90-99%,No
,Less than 6.5,Only during exams,Never,Faculty office hours/support,1,4,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,When internet is not available at hostels,Never,Tutoring/Academic support services/YouTube,4,10,75-90%,No
,Less than 6.5,Monthly,Only during exams,Faculty office hours/support,2,2,50-75%,Yes
,Less than 6.5,When internet is not available at hostels,Only during exams,Faculty office hours/support,4,1,<50%,No
,Less than 6.5,Monthly,Never,Faculty office hours/support,4,1,<50%,No
,Less than 6.5,Every week,Never,Faculty office hours/support,4,3,<50%,Yes
,Less than 6.5,Every week,Every week,"Library resources (books, journals)",1,10,75-90%,Yes
,Less than 6.5,Never,Monthly,Tutoring/Academic support services/YouTube,1,10,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Only during exams,Never,Faculty office hours/support,2,1,50-75%,No
,Less than 6.5,Never,Monthly,"Library resources (books, journals)",3,2,I never miss classes unless there is an emergency,No
,Less than 6.5,When internet is not available at hostels,Only during exams,Faculty office hours/support,5,2,I never miss classes unless there is an emergency,No
,6.5 to 8.5,Only during exams,Only during exams,Faculty office hours/support,1,8,<50%,No
,Less than 6.5,When internet is not available at hostels,Only during exams,"Library resources (books, journals)",4,2,I never miss classes unless there is an emergency,No
,6.5 to 8.5,Never,Only during exams,Faculty office hours/support,5,10,50-75%,No
,Less than 6.5,When internet is not available at hostels,Every week,Faculty office hours/support,3,8,50-75%,Yes
,Less than 6.5,Every week,Never,Faculty office hours/support,4,3,90-99%,Yes
,Less than 6.5,Monthly,Every week,Faculty office hours/support,4,3,90-99%,Yes
,6.5 to 8.5,Only during exams,Never,Tutoring/Academic support services/YouTube,4,6,I never miss classes unless there is an emergency,No
,Less than 6.5,Monthly,Every week,Tutoring/Academic support services/YouTube,2,1,I never miss classes unless there is an emergency,No
,Less than 6.5,Never,Only during exams,"Library resources (books, journals)",1,1,50-75%,Yes
,Less than 6.5,When internet is not available at hostels,Every week,Seniors,3,4,50-75%,No
,6.5 to 8.5,When internet is not available at hostels,Every week,"Library resources (books, journals)",3,6,I never miss classes unless there is an emergency,No
,Less than 6.5,Every week,Only during exams,Seniors,2,7,<50%,Yes
,More than 8.5,Every week,Every week,Faculty office hours/support,2,10,90-99%,No
,Less than 6.5,Monthly,Never,Tutoring/Academic support services/YouTube,5,3,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Monthly,Every week,"Library resources (books, journals)",5,10,<50%,Yes
,6.5 to 8.5,Monthly,Never,Seniors,5,5,90-99%,No
,More than 8.5,Every week,Monthly,Tutoring/Academic support services/YouTube,5,10,I never miss classes unless there is an emergency,No
,Less than 6.5,When internet is not available at hostels,Never,Faculty office hours/support,2,1,75-90%,No
,Less than 6.5,Monthly,Every week,"Library resources (books, journals)",3,3,<50%,Yes
,Less than 6.5,Monthly,Only during exams,Faculty office hours/support,4,9,<50%,Yes
,6.5 to 8.5,Only during exams,Never,Seniors,3,6,<50%,No
,6.5 to 8.5,Every week,Every week,Seniors,5,8,<50%,No
,Less than 6.5,Never,Every week,"Library resources (books, journals)",5,7,50-75%,Yes
,Less than 6.5,When internet is not available at hostels,Every week,"Library resources (books, journals)",5,10,I never miss classes unless there is an emergency,Yes
,Less than 6.5,When internet is not available at hostels,Monthly,"Library resources (books, journals)",5,1,<50%,No
,Less than 6.5,Never,Never,Tutoring/Academic support services/YouTube,2,7,50-75%,Yes
,Less than 6.5,Every week,Monthly,Seniors,5,1,90-99%,No
,Less than 6.5,Only during exams,Only during exams,"Library resources (books, journals)",5,2,50-75%,No
,Less than 6.5,Only during exams,Every week,Tutoring/Academic support services/YouTube,3,2,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Only during exams,Only during exams,Tutoring/Academic support services/YouTube,2,7,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Every week,Every week,"Library resources (books, journals)",5,7,I never miss classes unless there is an emergency,Yes
,Less than 6.5,When internet is not available at hostels,Never,Faculty office hours/support,3,1,<50%,Yes
,6.5 to 8.5,Only during exams,Every week,Tutoring/Academic support services/YouTube,2,8,50-75%,No
,Less than 6.5,When internet is not available at hostels,Never,Faculty office hours/support,1,4,<50%,Yes
,Less than 6.5,Never,Never,"Library resources (books, journals)",2,6,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,Never,Every week,"Library resources (books, journals)",5,10,75-90%,No
,More than 8.5,Never,Only during exams,Tutoring/Academic support services/YouTube,1,10,90-99%,No
,Less than 6.5,When internet is not available at hostels,Every week,Seniors,1,9,<50%,Yes
,Less than 6.5,Monthly,Never,Tutoring/Academic support services/YouTube,1,4,<50%,No
,Less than 6.5,Only during exams,Every week,Tutoring/Academic support services/YouTube,2,9,50-75%,Yes
,Less than 6.5,Only during exams,Only during exams,Faculty office hours/support,3,10,75-90%,Yes
,6.5 to 8.5,Only during exams,Never,Tutoring/Academic support services/YouTube,5,7,90-99%,No
,Less than 6.5,Never,Never,Tutoring/Academic support services/YouTube,5,3,<50%,Yes
,6.5 to 8.5,When internet is not available at hostels,Every week,Seniors,2,5,90-99%,No
,Less than 6.5,Every week,Monthly,Tutoring/Academic support services/YouTube,5,1,I never miss classes unless there is an emergency,Yes
,More than 8.5,Only during exams,Never,Seniors,3,10,I never miss classes unless there is an emergency,No
,Less than 6.5,Only during exams,Monthly,Seniors,4,5,<50%,Yes
,More than 8.5,When internet is not available at hostels,Never,Seniors,2,8,90-99%,No
,Less than 6.5,Only during exams,Never,Tutoring/Academic support services/YouTube,3,4,90-99%,Yes
,Less than 6.5,Monthly,Every week,Tutoring/Academic support services/YouTube,5,8,50-75%,Yes
,Less than 6.5,Never,Every week,Tutoring/Academic support services/YouTube,3,5,50-75%,Yes
,More than 8.5,Monthly,Only during exams,Faculty office hours/support,1,8,I never miss classes unless there is an emergency,No
,Less than 6.5,Only during exams,Monthly,Faculty office hours/support,1,8,90-99%,Yes
,Less than 6.5,Only during exams,Monthly,Seniors,4,4,50-75%,Yes
,6.5 to 8.5,Every week,Monthly,Faculty office hours/support,2,5,75-90%,No
,Less than 6.5,Never,Never,Faculty office hours/support,3,2,75-90%,Yes
,6.5 to 8.5,Every week,Every week,Faculty office hours/support,4,10,75-90%,No
,Less than 6.5,When internet is not available at hostels,Never,Seniors,4,2,<50%,No
,Less than 6.5,Monthly,Never,"Library resources (books, journals)",5,3,75-90%,Yes
,Less than 6.5,When internet is not available at hostels,Never,Seniors,2,8,50-75%,Yes
,Less than 6.5,Monthly,Monthly,"Library resources (books, journals)",2,2,<50%,No
,Less than 6.5,Monthly,Monthly,Faculty office hours/support,3,3,<50%,No
,Less than 6.5,Only during exams,Every week,"Library resources (books, journals)",1,9,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Never,Never,Seniors,1,3,90-99%,Yes
,Less than 6.5,Never,Only during exams,Seniors,1,3,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,Only during exams,Only during exams,Seniors,1,6,75-90%,No
,6.5 to 8.5,Only during exams,Monthly,Tutoring/Academic support services/YouTube,1,8,50-75%,No
,Less than 6.5,Only during exams,Only during exams,Faculty office hours/support,4,4,75-90%,No
,Less than 6.5,Never,Every week,Tutoring/Academic support services/YouTube,4,3,90-99%,Yes
,Less than 6.5,Only during exams,Only during exams,"Library resources (books, journals)",4,1,50-75%,No
,Less than 6.5,Only during exams,Only during exams,"Library resources (books, journals)",4,2,90-99%,No
,Less than 6.5,Every week,Monthly,Tutoring/Academic support services/YouTube,4,2,I never miss classes unless there is an emergency,No
,6.5 to 8.5,Every week,Every week,Seniors,2,7,<50%,No
,Less than 6.5,Never,Only during exams,Seniors,5,2,<50%,No
,Less than 6.5,Only during exams,Monthly,Tutoring/Academic support services/YouTube,1,1,I never miss classes unless there is an emergency,No
,6.5 to 8.5,Every week,Every week,"Library resources (books, journals)",1,10,75-90%,No
,Less than 6.5,Only during exams,Never,Seniors,5,1,50-75%,No
,6.5 to 8.5,Never,Monthly,Faculty office hours/support,1,6,I never miss classes unless there is an emergency,No
,Less than 6.5,Monthly,Every week,Seniors,1,1,75-90%,Yes
,Less than 6.5,When internet is not available at hostels,Monthly,Tutoring/Academic support services/YouTube,4,2,50-75%,Yes
,Less than 6.5,Only during exams,Every week,"Library resources (books, journals)",1,10,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,Never,Only during exams,Tutoring/Academic support services/YouTube,1,5,I never miss classes unless there is an emergency,No
,Less than 6.5,When internet is not available at hostels,Only during exams,Faculty office hours/support,5,2,90-99%,Yes
,Less than 6.5,Monthly,Only during exams,"Library resources (books, journals)",3,7,<50%,Yes
,6.5 to 8.5,Only during exams,Only during exams,Tutoring/Academic support services/YouTube,4,6,75-90%,No
,Less than 6.5,Every week,Every week,Tutoring/Academic support services/YouTube,4,10,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,Never,Only during exams,Seniors,3,5,90-99%,No
,6.5 to 8.5,When internet is not available at hostels,Every week,Tutoring/Academic support services/YouTube,3,7,75-90%,No
,Less than 6.5,Every week,Only during exams,Seniors,1,4,<50%,No
,Less than 6.5,Monthly,Never,Faculty office hours/support,1,10,50-75%,Yes
,Less than 6.5,Every week,Every week,"Library resources (books, journals)",1,10,<50%,Yes
,6.5 to 8.5,Only during exams,Never,Tutoring/Academic support services/YouTube,4,10,<50%,No
,Less than 6.5,When internet is not available at hostels,Never,Tutoring/Academic support services/YouTube,5,8,75-90%,Yes
,Less than 6.5,Never,Every week,"Library resources (books, journals)",4,6,50-75%,Yes
,Less than 6.5,Every week,Only during exams,Tutoring/Academic support services/YouTube,5,1,90-99%,No
,Less than 6.5,Every week,Only during exams,Faculty office hours/support,3,5,50-75%,Yes
,More than 8.5,Every week,Monthly,Tutoring/Academic support services/YouTube,2,8,90-99%,No
,Less than 6.5,Monthly,Monthly,"Library resources (books, journals)",3,3,90-99%,No
,Less than 6.5,Every week,Never,Seniors,1,1,<50%,No
,Less than 6.5,Only during exams,Never,Seniors,4,7,75-90%,Yes
,Less than 6.5,Monthly,Only during exams,"Library resources (books, journals)",2,3,90-99%,Yes
,Less than 6.5,Monthly,Only during exams,Seniors,4,4,75-90%,No
,6.5 to 8.5,When internet is not available at hostels,Every week,"Library resources (books, journals)",4,6,I never miss classes unless there is an emergency,No
,Less than 6.5,Never,Only during exams,"Library resources (books, journals)",3,4,<50%,No
,Less than 6.5,When internet is not available at hostels,Only during exams,"Library resources (books, journals)",4,7,75-90%,Yes
,More than 8.5,Every week,Never,Faculty office hours/support,2,8,90-99%,No
,Less than 6.5,Every week,Monthly,"Library resources (books, journals)",2,10,50-75%,Yes
,Less than 6.5,Every week,Never,Seniors,1,3,<50%,Yes
,Less than 6.5,Monthly,Monthly,Seniors,5,2,I never miss classes unless there is an emergency,No
,6.5 to 8.5,Only during exams,Monthly,Faculty office hours/support,2,7,50-75%,No
,Less than 6.5,When internet is not available at hostels,Only during exams,Faculty office hours/support,4,1,75-90%,Yes
,Less than 6.5,Every week,Never,"Library resources (books, journals)",4,10,75-90%,Yes
,Less than 6.5,Only during exams,Monthly,Seniors,5,3,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Never,Monthly,"Library resources (books, journals)",1,3,90-99%,No
,Less than 6.5,Every week,Every week,Seniors,2,6,<50%,Yes
,More than 8.5,Only during exams,Every week,Faculty office hours/support,1,9,90-99%,No
,More than 8.5,When internet is not available at hostels,Every week,Seniors,4,10,90-99%,No
,6.5 to 8.5,Only during exams,Only during exams,"Library resources (books, journals)",1,5,90-99%,No
,Less than 6.5,Every week,Every week,"Library resources (books, journals)",2,3,50-75%,Yes
,Less than 6.5,Every week,Never,Faculty office hours/support,1,10,I never miss classes unless there is an emergency,Yes
,Less than 6.5,Never,Every week,Seniors,3,1,50-75%,No
,Less than 6.5,Monthly,Every week,Faculty office hours/support,3,4,75-90%,No
,6.5 to 8.5,Only during exams,Monthly,Tutoring/Academic support services/YouTube,5,6,75-90%,No
,Less than 6.5,When internet is not available at hostels,Every week,Faculty office hours/support,1,2,50-75%,Yes
,Less than 6.5,When internet is not available at hostels,Only during exams,"Library resources (books, journals)",4,3,90-99%,No
,6.5 to 8.5,When internet is not available at hostels,Only during exams,Faculty office hours/support,5,9,75-90%,No
,Less than 6.5,When internet is not available at hostels,Only during exams,"Library resources (books, journals)",1,8,<50%,Yes
,6.5 to 8.5,When internet is not available at hostels,Monthly,Tutoring/Academic support services/YouTube,3,5,I never miss classes unless there is an emergency,No
,Less than 6.5,Monthly,Only during exams,Faculty office hours/support,2,3,50-75%,No
,6.5 to 8.5,Only during exams,Never,Faculty office hours/support,1,5,90-99%,No
,More than 8.5,When internet is not available at hostels,Every week,Faculty office hours/support,2,10,I never miss classes unless there is an emergency,No
,Less than 6.5,Never,Monthly,Seniors,3,3,<50%,No
,6.5 to 8.5,Monthly,Monthly,Seniors,3,5,<50%,No
,6.5 to 8.5,Only during exams,Monthly,Seniors,1,7,90-99%,No
,6.5 to 8.5,Monthly,Never,Tutoring/Academic support services/YouTube,1,7,<50%,No
,Less than 6.5,Never,Every week,Faculty office hours/support,2,6,<50%,Yes
,Less than 6.5,Monthly,Every week,Tutoring/Academic support services/YouTube,5,3,I never miss classes unless there is an emergency,No
,Less than 6.5,Monthly,Only during exams,"Library resources (books, journals)",5,3,75-90%,No
,Less than 6.5,Monthly,Every week,Tutoring/Academic support services/YouTube,3,7,75-90%,Yes
,Less than 6.5,Monthly,Every week,Tutoring/Academic support services/YouTube,1,1,<50%,No
,Less than 6.5,Only during exams,Every week,"Library resources (books, journals)",2,10,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,Only during exams,Only during exams,Tutoring/Academic support services/YouTube,5,7,<50%,No
,Less than 6.5,Never,Every week,Faculty office hours/support,1,5,75-90%,Yes
,Less than 6.5,Only during exams,Never,Tutoring/Academic support services/YouTube,2,2,<50%,No
,Less than 6.5,Monthly,Never,Tutoring/Academic support services/YouTube,2,1,90-99%,No
,Less than 6.5,Only during exams,Monthly,Seniors,5,4,I never miss classes unless there is an emergency,No
,Less than 6.5,Every week,Never,Seniors,2,5,<50%,Yes
,Less than 6.5,Every week,Never,Seniors,4,5,<50%,Yes
,6.5 to 8.5,Every week,Only during exams,"Library resources (books, journals)",3,5,75-90%,No
,Less than 6.5,Monthly,Every week,Seniors,3,6,75-90%,Yes
,Less than 6.5,Only during exams,Never,Seniors,3,3,75-90%,Yes
,More than 8.5,Monthly,Every week,Faculty office hours/support,1,9,90-99%,No
,Less than 6.5,Monthly,Only during exams,Faculty office hours/support,2,1,<50%,Yes
,Less than 6.5,Monthly,Never,"Library resources (books, journals)",1,10,<50%,Yes
,Less than 6.5,Monthly,Monthly,Seniors,5,7,90-99%,Yes
,Less than 6.5,Only during exams,Monthly,Tutoring/Academic support services/YouTube,2,7,<50%,Yes
,6.5 to 8.5,When internet is not available at hostels,Monthly,"Library resources (books, journals)",3,7,50-75%,No
,Less than 6.5,Never,Every week,Seniors,4,9,75-90%,Yes
,Less than 6.5,Monthly,Never,Seniors,5,1,I never miss classes unless there is an emergency,Yes
,More than 8.5,Every week,Every week,Seniors,4,8,90-99%,No
,Less than 6.5,Only during exams,Monthly,Faculty office hours/support,1,10,I never miss classes unless there is an emergency,Yes
,6.5 to 8.5,Every week,Monthly,Tutoring/Academic support services/YouTube,4,9,75-90%,No
,Less than 6.5,When internet is not available at hostels,Monthly,Seniors,1,4,90-99%,Yes
,Less than 6.5,Never,Every week,Tutoring/Academic support services/YouTube,5,10,50-75%,Yes
,More than 8.5,Only during exams,Only during exams,Faculty office hours/support,5,8,90-99%,No
,Less than 6.5,Monthly,Monthly,Faculty office hours/support,2,1,<50%,No
,Less than 6.5,Every week,Every week,Tutoring/Academic support services/YouTube,5,1,<50%,Yes
,Less than 6.5,Monthly,Every week,Faculty office hours/support,3,2,<50%,Yes
,Less than 6.5,Every week,Never,"Library resources (books, journals)",2,4,I never miss classes unless there is an emergency,No
,Less than 6.5,Never,Every week,Tutoring/Academic support services/YouTube,4,4,<50%,No
,6.5 to 8.5,Every week,Every week,"Library resources (books, journals)",3,10,75-90%,No
,Less than 6.5,Never,Monthly,"Library resources (books, journals)",2,1,75-90%,Yes
,More than 8.5,Monthly,Only during exams,Seniors,1,9,90-99%,No
,6.5 to 8.5,Every week,Monthly,"Library resources (books, journals)",5,5,90-99%,No
,Less than 6.5,Every week,Only during exams,Seniors,5,4,50-75%,Yes
,Less than 6.5,When internet is not available at hostels,Never,"Library resources (books, journals)",3,9,75-90%,Yes
,6.5 to 8.5,When internet is not available at hostels,Never,Faculty office hours/support,1,5,I never miss classes unless there is an emergency,No
,More than 8.5,Only during exams,Every week,Seniors,1,8,I never miss classes unless there is an emergency,No
,Less than 6.5,Only during exams,Monthly,Faculty office hours/support,1,8,<50%,Yes
,Less than 6.5,Only during exams,Every week,Seniors,1,4,50-75%,Yes
,Less than 6.5,Every week,Every week,Seniors,5,6,<50%,Yes
